pairID,sentenceID,sentenceType,homophoneID,version,m1,word,condition,dummy
1503,246,nonpun,6,b,ambiance,minutes,16,1
1504,249,nonpun,9,b,math,people,16,1
1505,251,nonpun,11,b,wicker,child,16,1
1506,254,nonpun,14,b,caesars,hairdressers,16,1
1507,256,nonpun,16,b,bloom,green,16,1
1508,258,nonpun,18,b,fillings,daughter's,16,1
1509,261,nonpun,21,b,braille,brother's,16,1
1510,263,nonpun,23,b,grime,police,16,1
1511,264,nonpun,24,b,epoch,marks,16,1
1512,268,nonpun,28,b,ohms,really,16,1
1513,270,nonpun,30,b,tamper,bad,16,1
1514,272,nonpun,32,b,libel,damages,16,1
1515,274,nonpun,34,b,propane,uses,16,1
1516,276,nonpun,36,b,yams,dinner,16,1
1517,279,nonpun,39,b,raven,mad,16,1
1518,281,nonpun,41,b,shave,work,16,1
1519,283,nonpun,43,b,irrigation,irritationbut,16,1
1520,284,nonpun,44,b,auntie,upped,16,1
1521,287,nonpun,47,b,house,going,16,1
1522,290,nonpun,50,b,garden,just,16,1
1523,292,nonpun,52,b,odor,newspapers,16,1
1524,295,nonpun,55,b,crank,drinking,16,1
1525,296,nonpun,56,b,leg,later,16,1
1526,298,nonpun,58,b,grammatic,very,16,1
1527,301,nonpun,61,b,dublin,business,16,1
1528,303,nonpun,63,b,fridge,river,16,1
1529,305,nonpun,65,b,revolution,quit,16,1
1530,307,nonpun,67,b,incisor,lot,16,1
1531,310,nonpun,70,b,altitude,good,16,1
1532,312,nonpun,72,b,necks,trouble,16,1
1533,315,nonpun,75,b,seize,able,16,1
1534,317,nonpun,77,b,source,love,16,1
1535,318,nonpun,78,b,paste,weeks,16,1
26,4,pun,4,a,heir,extension,17,1
74,13,pun,13,a,whirled,turn,17,1
122,22,pun,22,a,sperm,chromosome,17,1
170,30,pun,30,a,tamper,make,17,1
218,37,pun,37,a,tolkien,sleep,17,1
266,47,pun,47,a,house,said,17,1
314,57,pun,57,a,decade,tooth,17,1
362,65,pun,65,a,revolution,january,17,1
410,73,pun,73,a,digestion,mass,17,1
458,82,pun,2,b,truth,patient,17,1
506,90,pun,10,b,steeler,clue,17,1
554,99,pun,19,b,salvation,army,17,1
602,107,pun,27,b,screening,horror,17,1
650,116,pun,36,b,lambs,time,17,1
698,124,pun,44,b,ante,bet,17,1
746,133,pun,53,b,lot,thanks,17,1
